Source_PPT,SlideIndex,SelectionTitle,Title,Code,Title_short,Image_sub_url,Deci_Question,Next1_Code,Next2_Code,Image_web,Narr1_seed,Desc_Next1,Desc_Next2,Desi_Ques,Narr2_seed,Narr3_seed,UAP_Label,UAP_URL,Start_Here,Entity,Function,SubEntity,Exclude,FAQ_Loc,FAQ_File,FAQ_Label,Quiz_Loc,Quiz_File,Quiz_Label,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,13,S4. Create Startup Incident – Startup SOP,S4. Create Startup Incident – Startup SOP,S4,Create Startup Incident – Startup SOP,../images/StartUp/S4.png,,S8,,../images/StartUp/S4.png,Create Startup Incident – Startup SOP,Add Startup Notes ,,,It is now time to create a startup Incident ,It is now time to create a startup Incident ,04_Create a Start Up Incident,https://scottelectricusa.uap.infor.com/#/content/ec6be92c-71ab-4130-99f8-8d6cc102b0ed?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false ,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,14,S8. Add Startup Notes– Startup SOP,S8. Add Startup Notes– Startup SOP,S8,Add Startup Notes– Startup SOP,../images/StartUp/S8.png,,S9,,../images/StartUp/S8.png,Add Startup Notes– Startup SOP,Add Lines,,,In order to serve our customer better the service folks at PPS add notes about the customer the premise and expectation of the customer in the notes ,In order to serve our customer better the service folks at PPS add notes about the customer the premise and expectation of the customer in the notes ,05_Add Start Up Notes,https://scottelectricusa.uap.infor.com/#/content/df93e4ab-0e8b-4df6-abe8-267fdd49903f?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,15,S9. Add Lines,S9. Add Lines,S9,Add Lines– Startup SOP,../images/StartUp/S9.png,,S10,,../images/StartUp/S9.png,Add Lines– Startup SOP,Schedule startup ,,,In ISM a line is a generator or other unit that is being started in this case or serviced ,In ISM a line is a generator or other unit that is being started in this case or serviced ,06_Add Line,https://scottelectricusa.uap.infor.com/#/content/82ed7343-6770-4287-a84b-48f2dc253e44?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,16,S10. Schedule startup – Startup SOP,S10. Schedule startup – Startup SOP,S10,Schedule startup – Startup SOP,../images/StartUp/S10.png,,S11,,../images/StartUp/S10.png,Schedule startup – Startup SOP,Print Pick ticket,,,As we know an incident has to be converted to an SRO and it carries with it all the information provided up till this point,As we know an incident has to be converted to an SRO and it carries with it all the information provided up till this point,11_Schedule Service,https://scottelectricusa.uap.infor.com/#/content/6bb6bd8c-2c6f-46e0-a3d0-e97eed2f230b?contextId=3a4b3dad-96fe-4694-a768-791383f32e32&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,17,S11. Print Pick ticket– Startup SOP,S11. Print Pick ticket– Startup SOP,S11,Print Pick ticket– Startup SOP,../images/StartUp/S11.png,,S12,,../images/StartUp/S11.png,Print Pick ticket– Startup SOP,Shipping Feed back ,,,"A start up may need some items that are are not shipped with a generator, for example the carb heater is bought as part of package but is not sent out at the time of the delivery of the generator so this and other parts need to allocated and put on the service truck ","A start up may need some items that are are not shipped with a generator, for example the carb heater is bought as part of package but is not sent out at the time of the delivery of the generator so this and other parts need to allocated and put on the service truck ",02_Print Pick Ticket,https://scottelectricusa.uap.infor.com/#/content/55285afa-2994-4201-893f-3a4f2973c82b?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false ,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,18,S12. Shipping Feed back – Startup SOP,S12. Shipping Feed back – Startup SOP,S12,Shipping Feed back – Startup SOP,../images/StartUp/S12.png,,S13,,../images/StartUp/S12.png,Shipping Feed back – Startup SOP,Assigned Tech Performs Start-up,,,Shipping feed back is the way to process this pick ticket with components etc,Shipping feed back is the way to process this pick ticket with components etc,03_Shipping Feedback for Start Up,https://scottelectricusa.uap.infor.com/#/content/e046d76e-0ee2-4771-ae37-f9758c1bce84?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false ,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,19,S13. Assigned Tech Performs Start-up– Startup SOP,S13. Assigned Tech Performs Start-up– Startup SOP,S13,Assigned Tech Performs Start-up– Startup SOP,../images/StartUp/S13.png,,S14,,../images/StartUp/S13.png,Assigned Tech Performs Start-up– Startup SOP,Register Unit,,,"Based on the size , fuel. Environment in which the unit has to operator a certified start up technician is selected and scheduled","Based on the size , fuel. Environment in which the unit has to operator a certified start up technician is selected and scheduled",11_Schedule Service,https://scottelectricusa.uap.infor.com/#/content/6bb6bd8c-2c6f-46e0-a3d0-e97eed2f230b?contextId=3a4b3dad-96fe-4694-a768-791383f32e32&bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,20,S14. Register Unit– Startup SOP,S14. Register Unit– Startup SOP,S14,Register Unit– Startup SOP,../images/StartUp/S14.png,You've reached the end of this path. What would you like to do next?,S998a,S999,../images/StartUp/S14.png,Register Unit– Startup SOP,You have come to the end of the path selected in the – Generator Startup Process,Go to end of SIP slide,You've reached the end of this path. What would you like to do next?,once the startup has been successfully completed by a highly skilled and customer focused technician the generator has to Registered as started with KHOLER so as to have it covered by either the standard or other special warranty for which the unit qualifies,once the startup has been successfully completed by a highly skilled and customer focused technician the generator has to Registered as started with KHOLER so as to have it covered by either the standard or other special warranty for which the unit qualifies,08_Register Unit,https://scottelectricusa.uap.infor.com/#/content/44897267-c9a9-4ab1-854a-14b2054b8547?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false ,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,21,S998a. You have come to the end of the path selected in the – Generator Startup Process,S998a. You have come to the end of the path selected in the – Generator Startup Process,S998a,You have come to the end of the path selected in the – Generator Startup Process,../images/StartUp/S998a.png,,N2,,../images/StartUp/S998a.png,"Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny ",Original Sale Order Not Known ,,,Ever heard the phrase “Practice makes perfect ? – if you had not then now you have ! ,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances ,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,22,N2. Original Sale Order Not Known – Startup SOP,N2. Original Sale Order Not Known – Startup SOP,N2,Original Sale Order Not Known – Startup SOP,../images/StartUp/N2.png,,S5,,../images/StartUp/N2.png,,Order Enquiry Using Serial Number,,,In this case you as the trainee have selected a situation where the generator was sold by us however the person calling to schedule a startup does  not know or have the order number handy so a hunt for a pertinent order needs to be found,In this case you as the trainee have selected a situation where the generator was sold by us however the person calling to schedule a startup does  not know or have the order number handy so a hunt for a pertinent order needs to be found,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,23,S5. Order Enquiry Using Serial Number– Startup SOP,S5. Order Enquiry Using Serial Number– Startup SOP,S5,Order Enquiry Using Serial Number– Startup SOP,../images/StartUp/S5.png,,S3a,,../images/StartUp/S5.png,,Verify Payment Status ,,,The infor system provides multiple ways to find a sales order linked to a particular unit the serial number is by far the easiest as all serialized products are traced through the Infor system ,The infor system provides multiple ways to find a sales order linked to a particular unit the serial number is by far the easiest as all serialized products are traced through the Infor system ,09_Order Inquiry Using a Serial Number,https://scottelectricusa.uap.infor.com/#/content/b2be844f-cc50-4661-a4c1-8b36f22cc2dd?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false ,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,24,S3a. Verify Payment Status – Startup SOP,S3a. Verify Payment Status – Startup SOP,S3a,Verify Payment Status – Startup SOP,../images/StartUp/S3a.png,You've reached the end of this path. What would you like to do next?,S998b,S999,../images/StartUp/S3a.png,,You have come to the end of the path selected in the – Generator Startup Process,Go to end of SIP slide,You've reached the end of this path. What would you like to do next?,once an order has been identied the next is to make sure that the payment has been received in full ,once an order has been identied the next is to make sure that the payment has been received in full ,01_Order Inquiry ,https://scottelectricusa.uap.infor.com/#/content/34c69ec2-473e-408c-b4ac-ca2d8f3da53d?contextId=677cdca2-0d11-473d-8841-348a363b3d1e&bypassGroupFiltering=false ,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,25,S998b. You have come to the end of the path selected in the – Generator Startup Process,S998b. You have come to the end of the path selected in the – Generator Startup Process,S998b,You have come to the end of the path selected in the – Generator Startup Process,../images/StartUp/S998b.png,,,,../images/StartUp/S998b.png,"Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny ",No Gen Set Not sold by Palco ,,,Ever heard the phrase “Practice makes perfect ? – if you had not then now you have ! ,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances ,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,26,N1. No Gen Set Not sold by Palco – Startup SOP,N1. No Gen Set Not sold by Palco – Startup SOP,N1,No Gen Set Not sold by Palco – Startup SOP,../images/StartUp/N1.png,,,,../images/StartUp/N1.png,,Create New Unit ,,,Early in this SOP the question was asked if the Generator was sold by PPS and you the trainee had indicated that the unit was not bought from PPS ,Early in this SOP the question was asked if the Generator was sold by PPS and you the trainee had indicated that the unit was not bought from PPS ,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,27,S6. Create New Unit – Startup SOP,S6. Create New Unit – Startup SOP,S6,Create New Unit – Startup SOP,../images/StartUp/S6.png,,,,../images/StartUp/S6.png,,Create Chargeable SRO ,,,Since the unit was not bought from PPS the startup cost is not covered or paid to PPS. Being a customer focused organization PPS can still and will offer the start up service as abillable service. And a Unit (needs to be created ) so that it can be added to an SRO ,Since the unit was not bought from PPS the startup cost is not covered or paid to PPS. Being a customer focused organization PPS can still and will offer the start up service as abillable service. And a Unit (needs to be created ) so that it can be added to an SRO ,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,28,S7. Create Chargeable SRO – Startup SOP,S7. Create Chargeable SRO – Startup SOP,S7,Create Chargeable SRO – Startup SOP,../images/StartUp/S7.png,,,,../images/StartUp/S7.png,,You have come to the end of the path selected in the – Generator Startup Process,,,Create achargable SRO this is an SOP in its own right and is covered elsewhere ,Create achargable SRO this is an SOP in its own right and is covered elsewhere ,01_Service Order Process,https://scottelectricusa.uap.infor.com/#/folder/3a4b3dad-96fe-4694-a768-791383f32e32?bypassGroupFiltering=false,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,29,S998. You have come to the end of the path selected in the – Generator Startup Process,S998. You have come to the end of the path selected in the – Generator Startup Process,S998,You have come to the end of the path selected in the – Generator Startup Process,../images/StartUp/S998.png,You've reached the end of this path. What would you like to do next?,,S999,../images/StartUp/S998.png,"Ever heard the phrase “Practice makes perfect ? – if you had not then now you have !

The Management and your project team would like you to practice this and other processes so that the Go live is smooth or if your new to the company or are new to the role you can get proficient in the training environment As one becomes more proficient in this system it behooves us to share that knowledge and help other so the Company can  achieve its destiny ",You have successfully completed this SOP on Generator Startup at PPS,Go to end of SIP slide,,Ever heard the phrase “Practice makes perfect ? – if you had not then now you have ! ,At this point you have reach the end of this logical path While it is quite possible and likely there are other paths you as the tranee would like to explore and learn about the unique process that come into play under those cirumstances ,,,No,Palco,Service,StartUp,,../faq,PPS_StartUp_faq.html,StartUp related FAQ's,,,,
C:\Users\scottuser\Documents\SonetLumier\Input\PPS_Service_StrtUp_251229_1047.pptx,30,S999. You have successfully completed this SOP on Generator Startup at PPS,S999. You have successfully completed this SOP on Generator Startup at PPS,S999,You have successfully completed this SOP on Generator Startup at PPS,../images/StartUp/S999.png,,,,../images/StartUp/S999.png,,,,,Thank you for completing this module on Generator Startup Procedure SOP .,Thank you for completing this module on Generator Startup Procedure SOP .,,,No,Palco,Service,StartUp,, , , ,../quiz,PPS_StartUp_quiz.html,Check your Startup Knowledge, 
